Subject,MainTopic,Subtopic,Bullet,ComponentName,ComponentTotalMark,OrderNumber
Physics,1.0 Physical Quantities and Units,1.1 Physical Quantities,Understand that all physical quantities consist of a numerical magnitude and a unit,Paper 1,40,1
Physics,1.0 Physical Quantities and Units,1.1 Physical Quantities,Make reasonable estimates of physical quantities,Paper 1,40,2
Physics,1.0 Physical Quantities and Units,1.2 SI Units,Recall the SI base quantities and their units,Paper 1,40,3
Physics,1.0 Physical Quantities and Units,1.2 SI Units,Express derived units in terms of base units,Paper 1,40,4
Physics,2.0 Kinematics,2.1 Equations of Motion,Define and use displacement velocity speed and acceleration,Paper 2,60,5
Physics,2.0 Kinematics,2.1 Equations of Motion,Use graphical methods to represent motion,Paper 2,60,6
Physics,2.0 Kinematics,2.2 Motion in a Straight Line,Derive and use equations of uniformly accelerated motion,Paper 2,60,7
Mathematics,1.0 Pure Mathematics,1.1 Quadratics,Carry out the process of completing the square,Paper 1,75,1
Mathematics,1.0 Pure Mathematics,1.1 Quadratics,Find the discriminant of a quadratic polynomial,Paper 1,75,2
Mathematics,1.0 Pure Mathematics,1.2 Functions,Understand the terms function domain and range,Paper 1,75,3
Mathematics,2.0 Statistics,2.1 Probability,Understand and use the vocabulary of probability,Paper 3,75,4
Information Technology,1.0 Data Processing,1.1 Data Types,Identify different data types,Paper 1,90,1
Information Technology,1.0 Data Processing,1.2 Databases,Design and create database structures,Paper 2,90,2
